output_all
show	why	No	Ukraine 's plight helps to show why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 598
explain	why	No	That helps explain why , having presided over the biggest recession in California since the Depression , and after being 20 points down in some public opinion polls last summer , Wilson is rebounding in his campaign for election to a second term .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 3855
understand	why	No	It is not hard to understand why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 5312
say	how much	Neg	Heimall does not deny he makes a profit , but wo n't say how much .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 7275
know	why	Neg	`` I am going to school but I really do n't know why , '' she said .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 16253
explain	why	Neg	He could not explain why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 16561
explain	why	Neg	He could not explain why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 17063
see	why	Neg	Right now I do n't see why . ''	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 17457
understand	why	No	If the work of Foley artists has been one of Hollywood 's secrets , one can understand why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 19489
say	how many	Neg	Some of those who died were found in the protective covers , but Forest Service officials would not say how many .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 26406
know	why	Neg	`` I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 26691
know	why	Neg	`` It 's like we do n't have a set-up man and I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 27410
clear	when	Neg	-LRB- If you can remember the last time you huddled with your significant other to say `` Honey , we just have to take this extra $ 50,000 and put it into the best mutual fund with assets of between $ 20 million and $ 25 million that we can find , '' then voice your concerns directly to the SEC. The agency is expected to approve the new rules but it is not clear when . -RRB-	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 29699
know	why	Neg	`` Since the late 1980s we have been seeing more toxic strep , we really do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 31858
explain	why	No	Extremes of weather have become more common around the world in the last decade , but scientists are at a loss to explain why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 32346
ask	why	No	If children are n't going to school , we 've got to ask why . ''	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 33370
know	why	Neg	`` I do n't know why , but he always says that would be better .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 36585
say	what kind	Neg	In his first public response to the Mollen Commission 's report , he said he agreed the police need an outside monitor , but he did n't say what kind .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 37733
explain	why	No	Extremes of weather have become more common around the world in the last decade , but scientists are at a loss to explain why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 37744
see	why	No	Right this moment they are probably the two most famous and beloved tourists in America , and as they stood on a bluff above Fort Point with the Golden Gate Bridge in the background , waiting to do their turn on the `` Late Show With David Letterman , '' it was easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 38558
know	why	Neg	`` We do n't know why , and the patients do n't either , but maybe it has to do with a sense that they 're not experiencing their pain and suffering alone and that there 's a power higher than themselves who identifies with them in their suffering , '' Anderson said .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 43561
decide	what color	Neg	`` They can decide how often to paint , but they ca n't decide what color .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 45628
care	why	Neg	For once , I did n't care why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 48694
say	exactly when	Neg	But Ms. Schechter said the hospital called the 105th Precinct `` earlier than that , '' although she could not say exactly when .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 52272
figure	how	Neg	`` We thought that is a very funny premise -- that as soon as he comes home , he 's the ordinary guy that is struggling and is trying to make it , but he ca n't figure out how , '' Schwarzenegger said .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 52684
know	why	Neg	`` I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 63852
understand	why	No	Reeves said his biggest concern is the secondary , and it 's easy to understand why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 64231
understand	why	Neg	And Crosby does n't understand why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 65833
know	why	Neg	A spokesman for the state Board of Elections , David Flanagan , similarly declined to discuss the inquiry 's possible outcome , but he confirmed that the acting-justice system had not been `` precleared , '' though he said current board officials did not know why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 73056
explain	why	No	Nor , he says , can it explain why , if the moon lost all its volatiles when young , its surface contains glass-like substances formed by volatiles .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 74378
predict	how many	Neg	I can not predict how many , but I do not think it is going to be completely all Democrats on the affirmative side . ''	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 74799
understand	why the Republicans	Neg	`` I do n't understand why the Republicans -- and I 'm a Republican , and this really hurts -- they 're fighting this . ''	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 77963
matter	where	Neg	`` My main thing is to play -- does n't matter where , '' he said , answering a question about the irony of practice this week in what would have been his new town .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 82233
know	why	Neg	But I really do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 82247
say	how much	Neg	He averaged nearly 30 points a game , and the compensation was all right : a salary somewhere in the $ 35,000 to $ 90,00 range -- he wo n't say how much -- plus expenses , the use of a car and a house .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 84065
guess	what	No	Oh , and guess what ?	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 85369
say	how much	No	`` They 're doing it for fast , upfront money , '' she said , though neither photographers nor the agencies would say how much .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 90106
learn	why	No	But `` if they get something wrong , they have to go through an exercise to learn why . ''	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 91796
learn	why	No	But `` if they get something wrong , they have to go through an exercise to learn why . ''	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 94928
say	how much	Neg	She made a large sum of money by betting on Jose Maria Olazabal to win the Masters , but wo n't say how much .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 96036
guess	what	No	As DeShields walked toward the plate to lead off the seventh inning of the Dodgers ' 2-0 loss to the Expos , the color screen flashed the message : `` Delino , guess what ?	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 97722
explain	why	Neg	Joking that she could have a daughter O'Sullivan 's age , Podkopayeva , a mother of two , said she ca n't explain why but she keeps getting faster with age .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 106652
know	why	No	We 're going to closely monitor the facilities to make sure there is n't excessive use , and if there is , we 'll want to know why . ''	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 108542
determine	how	No	`` What we 've asked the agencies to do is to look for ways to save money , then to take proposals from them so we can study those proposals in a deliberate way to determine how can we manage this budget so that we spend less money in the first and second quarter . ''	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 109083
like	what	No	Stuff like what ?	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 109873
know	why	Neg	`` If a patient says he 's drinking more fluids and is much hungrier than normal and he does n't know why , you should consider it might be early symptoms of diabetes . ''	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 110553
say	exactly how	No	At the White House , counsel Lloyd Cutler insisted that he would satisfy Baker and the panel , but he declined to say exactly how .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 111695
know	why	No	`` The increase is a very big concern and we do n't exactly know why . ''	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 112630
know	why	Neg	`` I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 115592
think	why	No	Offensively , it 's not his greatest year , but he 's contributed and you have to think why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 117656
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 119270
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 119285
see	why	No	But if the people sitting under the cedar tree at the edge of the church cemetery or on the hoods of cars felt good about themselves that day , it was easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 126119
wonder	why	No	`` It 's not my job to wonder why , '' Inderrieden said .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 126240
see	why	No	But if the people sitting under the cedar tree at the edge of the church cemetery or on the hoods of cars felt good about themselves that day , it was easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199407.tgrep2 128719
see	why	No	But if the people sitting under the cedar tree at the edge of the church cemetery or on the hoods of cars felt good about themselves that day , it was easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 453
know	when	Neg	`` I do n't know when .	Treebanks/NYT-Parsed/nyt_eng_199408.tgrep2 1052
